location,type,project,namespace,framework,references,hintpath
,,,,,"SandDock, Version=2.4.0.1, Culture=neutral, PublicKeyToken=75b7ec17dd7c14c3, processorArchitecture=MSIL",..\..\..\..\Libraries\Divelements\SandDock\2.4.0.1\SandDock.dll
,,,,,"System",
,,,,,"System.configuration",
,,,,,"System.Core",
,,,,,"System.Data",
,,,,,"System.Data.DataSetExtensions",
,,,,,"System.Deployment",
,,,,,"System.Design",
,,,,,"System.DirectoryServices",
,,,,,"System.Drawing",
,,,,,"System.IdentityModel",
,,,,,"System.IO.Compression.FileSystem",
,,,,,"System.Messaging",
,,,,,"System.Runtime.Serialization",
,,,,,"System.Security",
,,,,,"System.ServiceModel",
,,,,,"System.Web",
,,,,,"System.Web.Extensions",
,,,,,"System.Web.Services",
,,,,,"System.Windows.Forms",
,,,,,"System.Xml",
,,,,,"WIA",..\..\..\..\Libraries\WIA\WIA\bin\WIA.dll
./TestDir/ProjectA/ProjectC/Optima.Http.csproj,,csproj,Optima.Http,v4.5.2,"",""
,,,,,"System",
,,,,,"System.Core",
,,,,,"System.Net.Http, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a, processorArchitecture=MSIL",..\..\Microsoft\AspNet.Mvc\4.0.4\System.Net.Http.dll
,,,,,"System.ServiceModel",
,,,,,"System.Web",
,,,,,"System.Xml.Linq",
,,,,,"System.Data.DataSetExtensions",
,,,,,"Microsoft.CSharp",
,,,,,"System.Data",
,,,,,"System.Xml",
